"bundle_version","bundle_file","source_version","domain","source_file","bytes"
"088","migrations/V088__audit_event_sequence_and_canonical_hash_chain.sql","094","hardening","v091_v108_hardening_migrations/V094__audit_event_sequence_and_canonical_hash_chain.sql","3994"
"089","migrations/V089__monthly_partitioned_evidence_tables.sql","095","hardening","v091_v108_hardening_migrations/V095__monthly_partitioned_evidence_tables.sql","12214"
"090","migrations/V090__identity_approvals_signatures_and_rbac.sql","096","hardening","v091_v108_hardening_migrations/V096__identity_approvals_signatures_and_rbac.sql","6895"
"091","migrations/V091__retention_legal_hold_enforcement.sql","097","hardening","v091_v108_hardening_migrations/V097__retention_legal_hold_enforcement.sql","5250"
"092","migrations/V092__evidence_ingestion_observability.sql","098","hardening","v091_v108_hardening_migrations/V098__evidence_ingestion_observability.sql","7436"
"093","migrations/V093__partition_index_reconciliation.sql","099","hardening","v091_v108_hardening_migrations/V099__partition_index_reconciliation.sql","4552"
"094","migrations/V094__constraint_validation_and_data_quality_gate.sql","100","hardening","v091_v108_hardening_migrations/V100__constraint_validation_and_data_quality_gate.sql","2258"
"095","migrations/V095__row_level_security_policies.sql","101","hardening","v091_v108_hardening_migrations/V101__row_level_security_policies.sql","6788"
"096","migrations/V096__audit_chain_verification_and_controlled_corrections.sql","102","hardening","v091_v108_hardening_migrations/V102__audit_chain_verification_and_controlled_corrections.sql","5471"
"097","migrations/V097__ddl_audit_and_privileged_operation_logging.sql","103","hardening","v091_v108_hardening_migrations/V103__ddl_audit_and_privileged_operation_logging.sql","3310"
"098","migrations/V098__partition_maintenance_and_integrity.sql","104","hardening","v091_v108_hardening_migrations/V104__partition_maintenance_and_integrity.sql","4297"
"099","migrations/V099__database_data_dictionary_and_classification.sql","105","hardening","v091_v108_hardening_migrations/V105__database_data_dictionary_and_classification.sql","5212"
"100","migrations/V100__regulated_compliance_health_views.sql","106","hardening","v091_v108_hardening_migrations/V106__regulated_compliance_health_views.sql","3735"
"101","migrations/V101__backup_restore_and_disaster_recovery_evidence.sql","107","hardening","v091_v108_hardening_migrations/V107__backup_restore_and_disaster_recovery_evidence.sql","5023"
"102","migrations/V102__schema_architecture_map_and_reference_rules.sql","108","hardening","v091_v108_hardening_migrations/V108__schema_architecture_map_and_reference_rules.sql","17264"
"103","migrations/V103__least_privilege_runtime_roles.sql","103","repo_local_hardening","governance_migration_bundle/migrations/V103__least_privilege_runtime_roles.sql","3046"
